"Notes"	"Event Category"	"Event Category Code"	"Year Reported"	"Year Reported Code"	"Vaccine"	"Vaccine Code"	Events Reported	Percent
	"Death"	"DTH"	"2020"	"2020"	"INFLUENZA (SEASONAL) (AFLURIA QUADRIVALENT)"	"1177"	1	0.08%
	"Death"	"DTH"	"2020"	"2020"	"INFLUENZA (SEASONAL) (FLUARIX QUADRIVALENT)"	"1161"	5	0.41%
	"Death"	"DTH"	"2020"	"2020"	"INFLUENZA (SEASONAL) (FLULAVAL QUADRIVALENT)"	"1166"	4	0.32%
	"Death"	"DTH"	"2020"	"2020"	"INFLUENZA (SEASONAL) (FLUZONE HIGH-DOSE QUADRIVALENT)"	"1199"	7	0.57%
	"Death"	"DTH"	"2020"	"2020"	"INFLUENZA (SEASONAL) (FLUZONE QUADRIVALENT)"	"1162"	4	0.32%
	"Death"	"DTH"	"2020"	"2020"	"INFLUENZA (SEASONAL) (FLUAD QUADRIVALENT)"	"1198"	1	0.08%
	"Death"	"DTH"	"2020"	"2020"	"INFLUENZA (SEASONAL) (FLUCELVAX QUADRIVALENT)"	"1175"	1	0.08%
	"Death"	"DTH"	"2020"	"2020"	"INFLUENZA (SEASONAL) (FLUBLOK QUADRIVALENT)"	"1176"	1	0.08%
	"Death"	"DTH"	"2020"	"2020"	"INFLUENZA (SEASONAL) (FLUZONE HIGH-DOSE)"	"1145"	4	0.32%
	"Death"	"DTH"	"2020"	"2020"	"INFLUENZA (SEASONAL) (FLUAD)"	"1173"	2	0.16%
"Total"	"Death"	"DTH"	"2020"	"2020"			77	6.25%
	"Death"	"DTH"	"2021"	"2021"	"INFLUENZA (SEASONAL) (NO BRAND NAME)"	"44"	24	1.95%
	"Death"	"DTH"	"2021"	"2021"	"INFLUENZA (SEASONAL) (AFLURIA QUADRIVALENT)"	"1177"	4	0.32%
	"Death"	"DTH"	"2021"	"2021"	"INFLUENZA (SEASONAL) (FLUARIX QUADRIVALENT)"	"1161"	1	0.08%
	"Death"	"DTH"	"2021"	"2021"	"INFLUENZA (SEASONAL) (FLULAVAL QUADRIVALENT)"	"1166"	5	0.41%
	"Death"	"DTH"	"2021"	"2021"	"INFLUENZA (SEASONAL) (FLUZONE HIGH-DOSE QUADRIVALENT)"	"1199"	15	1.22%
	"Death"	"DTH"	"2021"	"2021"	"INFLUENZA (SEASONAL) (FLUZONE QUADRIVALENT)"	"1162"	15	1.22%
	"Death"	"DTH"	"2021"	"2021"	"INFLUENZA (SEASONAL) (FLUAD QUADRIVALENT)"	"1198"	2	0.16%
	"Death"	"DTH"	"2021"	"2021"	"INFLUENZA (SEASONAL) (FLUCELVAX QUADRIVALENT)"	"1175"	1	0.08%
	"Death"	"DTH"	"2021"	"2021"	"INFLUENZA (SEASONAL) (FLUBLOK QUADRIVALENT)"	"1176"	1	0.08%
	"Death"	"DTH"	"2021"	"2021"	"INFLUENZA (SEASONAL) (FLUCELVAX)"	"1159"	1	0.08%
"Total"	"Death"	"DTH"	"2021"	"2021"			69	5.60%
	"Death"	"DTH"	"2022"	"2022"	"INFLUENZA (SEASONAL) (NO BRAND NAME)"	"44"	3	0.24%
	"Death"	"DTH"	"2022"	"2022"	"INFLUENZA (SEASONAL) (FLUZONE HIGH-DOSE QUADRIVALENT)"	"1199"	2	0.16%
	"Death"	"DTH"	"2022"	"2022"	"INFLUENZA (SEASONAL) (FLUZONE QUADRIVALENT)"	"1162"	2	0.16%
"Total"	"Death"	"DTH"	"2022"	"2022"			7	0.57%
	"Death"	"DTH"	"Unknown Date"	"9999"	"INFLUENZA (H1N1) (H1N1 (MONOVALENT) (SANOFI))"	"1132"	1	0.08%
	"Death"	"DTH"	"Unknown Date"	"9999"	"INFLUENZA (SEASONAL) (NO BRAND NAME)"	"44"	10	0.81%
	"Death"	"DTH"	"Unknown Date"	"9999"	"INFLUENZA (SEASONAL) (FLUZONE QUADRIVALENT)"	"1162"	1	0.08%
	"Death"	"DTH"	"Unknown Date"	"9999"	"INFLUENZA (SEASONAL) (FLU-IMUNE)"	"201"	1	0.08%
	"Death"	"DTH"	"Unknown Date"	"9999"	"INFLUENZA (SEASONAL) (FLUOGEN)"	"34"	4	0.32%
	"Death"	"DTH"	"Unknown Date"	"9999"	"INFLUENZA (SEASONAL) (FLUSHIELD)"	"261"	1	0.08%
	"Death"	"DTH"	"Unknown Date"	"9999"	"INFLUENZA (SEASONAL) (FLUVIRIN)"	"262"	11	0.89%
	"Death"	"DTH"	"Unknown Date"	"9999"	"INFLUENZA (SEASONAL) (FLUZONE HIGH-DOSE)"	"1145"	2	0.16%
	"Death"	"DTH"	"Unknown Date"	"9999"	"INFLUENZA (SEASONAL) (FLUZONE)"	"7"	55	4.46%
	"Death"	"DTH"	"Unknown Date"	"9999"	"INFLUENZA (H1N1) (H1N1 (MONOVALENT) (UNKNOWN))"	"1135"	1	0.08%
"Total"	"Death"	"DTH"	"Unknown Date"	"9999"			87	7.06%
"Total"	"Death"	"DTH"					1249	101.38%
"Total"							1249	101.38%
"---"
"Dataset: The Vaccine Adverse Event Reporting System (VAERS)"
"Query Parameters:"
"Title: Flu_Deaths_All_Years_US_By_Vaccine"
"Event Category: Death"
"State / Territory: The United States/Territories/Unknown"
"Vaccine Products: INFLUENZA (H1N1) MONOVALENT (INJECTED) (FLU(H1N1)); INFLUENZA (H1N1) MONOVALENT, (INTRANASAL SPRAY)"
"(FLUN(H1N1)); INFLUENZA VIRUS VACCINE, NO BRAND NAME (FLUX(SEASONAL)); INFLUENZA VIRUS VACCINE, QUADRIVALENT (INJECTED)"
"(FLU4(SEASONAL)); INFLUENZA VIRUS VACCINE, QUADRIVALENT (INTRANASAL SPRAY) (FLUN4(SEASONAL)); INFLUENZA VIRUS VACCINE,"
"QUADRIVALENT, ADJUVANT (INJECTED) (FLUA4(SEASONAL)); INFLUENZA VIRUS VACCINE, QUADRIVALENT, CELL-CULTURE-DERIVED (INJECTED)"
"(FLUC4(SEASONAL)); INFLUENZA VIRUS VACCINE, QUADRIVALENT, RECOMBINANT (INJECTED) (FLUR4(SEASONAL)); INFLUENZA VIRUS VACCINE,"
"TRIVALENT (INJECTED) (FLU3(SEASONAL)); INFLUENZA VIRUS VACCINE, TRIVALENT (INTRANASAL SPRAY) (FLUN3(SEASONAL)); INFLUENZA VIRUS"
"VACCINE, TRIVALENT, ADJUVANT (INJECTED) (FLUA3(SEASONAL)); INFLUENZA VIRUS VACCINE, TRIVALENT, CELL-CULTURE-DERIVED (INJECTED)"
"(FLUC3(SEASONAL)); INFLUENZA VIRUS VACCINE, TRIVALENT, RECOMBINANT (INJECTED) (FLUR3(SEASONAL)); INFLUENZA(H1N1) MONOVALENT,"
"UNKNOWN MANUFACTURER (FLUX(H1N1))"
"Group By: Event Category; Year Reported; Vaccine"
"Show Totals: True"
"Show Zero Values: False"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/vaers.html for more information."
"---"
"Query Date: Jan 27, 2022 8:18:50 PM"
"---"
"Suggested Citation: Accessed at http://wonder.cdc.gov/vaers.html on Jan 27, 2022 8:18:50 PM"
"---"
Messages:
"1. VAERS data in CDC WONDER are updated every Friday. Hence, results for the same query can change from week to week."
"2. These results are for 1,232 total events."
"3. Rows with zero Events Reported are hidden. Use Quick Options above to show zero rows."
"---"
Footnotes:
"1. Submitting a report to VAERS does not mean that healthcare personnel or the vaccine caused or contributed to the adverse"
"event (possible side effect)."
"---"
Caveats:
"1. <p> VAERS accepts reports of adverse events and reactions that occur following vaccination. Healthcare providers, vaccine"
"manufacturers, and the public can submit reports to VAERS. While very important in monitoring vaccine safety, VAERS reports"
"alone cannot be used to determine if a vaccine caused or contributed to an adverse event or illness. The reports may contain"
"information that is incomplete, inaccurate, coincidental, or unverifiable. Most reports to VAERS are voluntary, which means they"
"are subject to biases. This creates specific limitations on how the data can be used scientifically. Data from VAERS reports"
"should always be interpreted with these limitations in mind. </p> <p> The strengths of VAERS are that it is national in scope"
"and can quickly provide an early warning of a safety problem with a vaccine. As part of CDC and FDA's multi-system approach to"
"post-licensure vaccine safety monitoring, VAERS is designed to rapidly detect unusual or unexpected patterns of adverse events,"
"also known as ""safety signals."" If a safety signal is found in VAERS, further studies can be done in safety systems such as"
"the CDC's Vaccine Safety Datalink (VSD) or the Clinical Immunization Safety Assessment (CISA) project. These systems do not have"
"the same limitations as VAERS, and can better assess health risks and possible connections between adverse events and a vaccine."
"</p> <p> Key considerations and limitations of VAERS data: <ul><li> Vaccine providers are encouraged to report any clinically"
"significant health problem following vaccination to VAERS, whether or not they believe the vaccine was the cause. </li><li>"
"Reports may include incomplete, inaccurate, coincidental and unverified information. </li><li> The number of reports alone"
"cannot be interpreted or used to reach conclusions about the existence, severity, frequency, or rates of problems associated"
"with vaccines. </li><li> VAERS data are limited to vaccine adverse event reports received between 1990 and the most recent date"
"for which data are available. </li><li> VAERS data do not represent all known safety information for a vaccine and should be"
"interpreted in the context of other scientific information. </li></ul> </p>"
"2."
"3. Some items may have more than 1 occurrence in any single event report, such as Symptoms, Vaccine Products, Manufacturers, and"
"Event Categories. If data are grouped by any of these items, then the number in the Events Reported column may exceed the total"
"number of unique events. If percentages are shown, then the associated percentage of total unique event reports will exceed 100%"
"in such cases. For example, the number of Symptoms mentioned is likely to exceed the number of events reported, because many"
"reports include more than 1 Symptom. When more than 1 Symptom occurs in a single report, then the percentage of Symptoms to"
"unique events is more than 100%. More information: http://wonder.cdc.gov/wonder/help/vaers.html#Suppress."
"4. Data contains VAERS reports processed as of 01/14/2022. The VAERS data in WONDER are updated weekly, yet the VAERS system"
"receives continuous updates including revisions and new reports for preceding time periods. Duplicate event reports and/or"
"reports determined to be false are removed from VAERS. More information: http://wonder.cdc.gov/wonder/help/vaers.html#Reporting."
"5. Values of Event Category field vary in their availability over time due to changes in the reporting form. The ""Emergency"
"Room/Office Visit"" value was avaliable only for events reported using the VAERS-1 form, active 07/01/1990 to 06/29/2017. The"
"""Congenital Anomaly/Birth Defect"", ""Emergency Room"", and ""Office Visit"" values are available only for events reported"
"using the VAERS 2.0 form, active 06/30/2017 to present. These changes must be considered when evaluating count of events for"
"these categories."
"6. About COVID19 vaccines: <UL><LI> For more information on how many persons have been vaccinated in the US for COVID19 to date,"
"see https://covid.cdc.gov/covid-data-tracker/#vaccinations/: <a target= .. </LI><LI> One report may state that the patient"
"received more than one brand of COVID-19 vaccine on the same visit. This is a reporting error, but explains why the total number"
"of reports may not equal the total number of COVID-19 vaccine doses. </LI></UL>"
